"Date","2020 AQI Value","Main Pollutant","Site Name","Site ID","Source","20-year High (1980-2019)","20-year Low (1980-2019)","5-year Median (2015-2019)"
"01/01/2020","81","PM2.5","El Cajon - Lexington Elementary School","06-073-1022","AirNow","165","54","91"
"01/02/2020","58","PM2.5","Donovan","06-073-1014","AirNow","122","40","66"
"01/03/2020","57","PM2.5","El Cajon - Lexington Elementary School","06-073-1022","AirNow","114","32","75"
"01/04/2020","64","PM2.5","El Cajon - Lexington Elementary School","06-073-1022","AirNow","111","45","68"
"01/05/2020","68","PM2.5","El Cajon - Lexington Elementary School","06-073-1022","AirNow","111","38","60"
"01/06/2020","56","PM2.5","El Cajon - Lexington Elementary School","06-073-1022","AirNow","98","39","55"
"01/07/2020","42","PM2.5","El Cajon - Lexington Elementary School","06-073-1022","AirNow","114","39","48"
"01/08/2020","59","PM2.5","Donovan","06-073-1014","AirNow","118","35","58"
"01/09/2020","36","Ozone","Donovan","06-073-1014","AirNow","133","28","61"
"01/10/2020","35","PM2.5","Donovan","06-073-1014","AirNow","138","29","54"
"01/11/2020","47","PM2.5","Donovan","06-073-1014","AirNow","138","40","49"
"01/12/2020","43","PM2.5","San Diego - Sherman Elementary School","06-073-1026","AirNow","107","35","55"
"01/13/2020","54","PM2.5","Donovan","06-073-1014","AirNow","102","48","54"
"01/14/2020","58","PM2.5","Donovan","06-073-1014","AirNow","107","40","56"
"01/15/2020","72","PM2.5","Camp Pendleton","06-073-1008","AirNow","82","40","59"
"01/16/2020","68","PM2.5","Donovan","06-073-1014","AirNow","109","36","64"
"01/17/2020","39","Ozone","Camp Pendleton","06-073-1008","AirNow","124","47","64"
"01/18/2020","51","PM2.5","El Cajon - Lexington Elementary School","06-073-1022","AirNow","122","34","66"
"01/19/2020","58","PM2.5","El Cajon - Lexington Elementary School","06-073-1022","AirNow","120","37","54"
"01/20/2020","68","PM2.5","Donovan","06-073-1014","AirNow","105","39","60"
"01/21/2020","35","PM2.5","El Cajon - Lexington Elementary School","06-073-1022","AirNow","95","36","55"
"01/22/2020","49","PM2.5","Donovan","06-073-1014","AirNow","114","45","52"
"01/23/2020","57","PM2.5","Donovan","06-073-1014","AirNow","138","40","52"
"01/24/2020","63","PM2.5","Donovan","06-073-1014","AirNow","101","38","51"
"01/25/2020","74","PM2.5","Donovan","06-073-1014","AirNow","80","38","48"
"01/26/2020","65","PM2.5","Donovan","06-073-1014","AirNow","84","39","47"
"01/27/2020","64","PM2.5","Donovan","06-073-1014","AirNow","75","35","63"
"01/28/2020","45","PM2.5","San Diego - Sherman Elementary School","06-073-1026","AirNow","89","37","62"
"01/29/2020","41","PM2.5","San Diego - Sherman Elementary School","06-073-1026","AirNow","92","36","64"
"01/30/2020","51","PM2.5","Donovan","06-073-1014","AirNow","123","39","57"
"01/31/2020","41","Ozone","Alpine","06-073-1006","AirNow","82","39","63"
"02/01/2020","45","PM2.5","El Cajon - Lexington Elementary School","06-073-1022","AirNow","106","43","63"
"02/02/2020","42","Ozone","Alpine","06-073-1006","AirNow","87","40","52"
"02/03/2020","40","PM2.5","Donovan","06-073-1014","AirNow","101","39","70"
"02/04/2020","41","Ozone","Alpine","06-073-1006","AirNow","110","38","53"
"02/05/2020","42","PM2.5","Donovan","06-073-1014","AirNow","131","38","84"
"02/06/2020","54","PM2.5","Donovan","06-073-1014","AirNow","131","40","50"
"02/07/2020","63","PM2.5","Donovan","06-073-1014","AirNow","127","38","70"
"02/08/2020","71","PM2.5","Donovan","06-073-1014","AirNow","93","42","54"
"02/09/2020","44","Ozone","Donovan","06-073-1014","AirNow","101","39","55"
"02/10/2020","41","Ozone","Camp Pendleton","06-073-1008","AirNow","88","38","55"
