id,street_name,limits,northbound_count,southbound_count,eastbound_count,westbound_count,total_count,file_no,date_count
54ST015818,54 ST,COLLEGE GROVE DR - REDWOOD ST,10442,9676,,,20118,0158-18,4/3/18 0:00
ADAMSAV015118,ADAMS AV,E MOUNTAIN VIEW DR - 39 ST,,,9478,9893,19371,0151-18,4/3/18 0:00
BOUNDARYST013918,BOUNDARY ST,NORTH PARK WY - UNIVERSITY AV,3649,2476,,,6125,0139-18,4/3/18 0:00
CHOLLASRD015918,CHOLLAS RD,EUCLID AV - QUINCE ST,2593,2483,,,5076,0159-18,4/3/18 0:00
EUCLIDAV014418,EUCLID AV,AUBURN DR - UNIVERSITY AV,7354,7892,,,15246,0144-18,4/3/18 0:00
FAIRMOUNTAV014218,FAIRMOUNT AV,44 ST - LAUREL ST,8896,12173,,,21069,0142-18,4/3/18 0:00
FAIRMOUNTAV014318,FAIRMOUNT AV,POPLAR ST - MANZANITA PL,8081,8096,,,16177,0143-18,4/3/18 0:00
HOMEAV014018,HOME AV,BEECH ST - GATEWAY DR,9503,8760,,,18263,0140-18,4/3/18 0:00
HOMEAV014118,HOME AV,FAIRMOUNT AV - 45 ST,9297,8295,,,17592,0141-18,4/3/18 0:00
JACKSONDR029118,JACKSON DR,COWLES MTN BL - GOLFCREST DR,,,4060,3928,7988,0291-18,4/3/18 0:00
OUTERRD030618,OUTER RD,HOLLISTER ST - CORONADO SB AV,2335,2209,,,4544,0306-18,4/3/18 0:00
PARADISEVALLEYRD033218,PARADISE VALLEY RD,BRIARWOOD RD - CITY LIMIT ,,,8125,7927,16052,0332-18,4/3/18 0:00
ROCKWOODRD002918,ROCKWOOD RD,CLOVERDALE RD - OLD RANCH RD,,,1538,1417,2955,0029-18,4/3/18 0:00
SANCARLOSDR029218,SAN CARLOS DR,COWLESS MTN BL - LAKE MURRAY BL,,,969,1242,2211,0292-18,4/3/18 0:00
SANPASQUALRD003118,SAN PASQUAL RD,OLD MILKY WY - OLD SAN PASQUAL RD,2160,2683,,,4843,0031-18,4/3/18 0:00
SD078002818,SD 078 ,OLD MILKY WY - YSABEL CREEK RD,,,5046,5350,10396,0028-18,4/3/18 0:00
TULIPST014918,TULIP ST,RALENE ST - SYCAMORE DR,1219,1201,,,2420,0149-18,4/3/18 0:00
UNIVERSITYAV014818,UNIVERSITY AV,41 ST - MARLBOROUGH AV,,,13807,12651,26458,0148-18,4/3/18 0:00
UNIVERSITYAV014718,UNIVERSITY AV,46 ST - MENLO AV,,,9459,9514,18973,0147-18,4/3/18 0:00
WCANYONAV002418,W CANYON AV,GRANITE RIDGE DR - AERO DR,1999,2464,,,4463,0024-18,4/3/18 0:00
35ST015018,35 ST,POLK AV - ORANGE AV,1926,1722,,,3648,0150-18,4/4/18 0:00
43ST014618,43 ST,LANDIS ST - WIGHTMAN ST,,4246,,,4246,0146-18,4/4/18 0:00
43ST014518,43 ST,WIGHTMAN ST - UNIVERSITY AV,,4660,,,4660,0145-18,4/4/18 0:00
ADAMSAV016718,ADAMS AV,VISTA ST - VAN DYKE AV,,,3350,2780,6130,0167-18,4/4/18 0:00
BAYVIEWHTSDR016818,BAYVIEW HTS DR,BAYVIEW HTS WY - GRAPE ST,1785,1973,,,3758,0168-18,4/4/18 0:00
CELIAVISTADR016618,CELIA VISTA DR,LOMA ALTA DR - ARAGON DR,,,1621,2624,4245,0166-18,4/4/18 0:00
COLLEGEGROVEWY016118,COLLEGE GROVE WY,SD 094  - COLLEGE GROVE DR,5494,3888,,,9382,0161-18,4/4/18 0:00
EUCLIDAV015518,EUCLID AV,MARILOU RD - 54 ST,14281,14831,,,29112,0155-18,4/4/18 0:00
FAIRMOUNTAV028518,FAIRMOUNT AV,43 ST - ALDINE DR,8522,8949,,,17471,0285-18,4/4/18 0:00
FAIRMOUNTAV028418,FAIRMOUNT AV,ALDINE DR - MONTEZUMA RD,18782,17705,,,36487,0284-18,4/4/18 0:00
FAIRMOUNTAV016218,FAIRMOUNT AV,ORANGE AV - EL CAJON BL,7501,1854,,,9355,0162-18,4/4/18 0:00
FAIRMOUNTAV016318,FAIRMOUNT AV,WIGHTMAN ST - UNIVERSITY AV,7366,4380,,,11746,0163-18,4/4/18 0:00
FEDERALBL031018,FEDERAL BL,HOME AV - 47 ST,,,2384,3186,5570,0310-18,4/4/18 0:00
SALMONRIVERRD029718,SALMON RIVER RD,CALLE ROSA  - SAWTOOTH WY,1597,1844,,,3441,0297-18,4/4/18 0:00
SEMILLONBL029618,SEMILLON BL,POMERADO RD - FAIRBROOK RD,,,1501,1440,2941,0296-18,4/4/18 0:00
STREAMVIEWDR016018,STREAMVIEW DR,HASTY ST - BOREN ST,,,1578,1543,3121,0160-18,4/4/18 0:00
UNIVERSITYAV016418,UNIVERSITY AV,58 ST - UNIVERSITY SQ DY,12348,12590,,,24938,0164-18,4/4/18 0:00
UNIVERSITYAV016518,UNIVERSITY AV,CHOLLAS PY - 58 ST,14630,14790,,,29420,0165-18,4/4/18 0:00
ANTIGUABL031618,ANTIGUA BL,CLAIREMONT MESA BL - SANTO RD,1461,1023,,,2484,0316-18,4/5/18 0:00
CATOCTINDR033118,CATOCTIN DR,63 ST - MONTEZUMA RD,,,1020,857,1877,0331-18,4/5/18 0:00
CHANDLERDR032018,CHANDLER DR,DOLIVA DR - CANNINGTON DR,,,1585,2008,3593,0320-18,4/5/18 0:00
CHARGERBL032118,CHARGER BL,BALBOA AV - CANNINGTON DR,2744,2540,,,5284,0321-18,4/5/18 0:00
CHOLLASRD030518,CHOLLAS RD,EUCLID AV - COLLURA ST,2477,2032,,,4509,0305-18,4/5/18 0:00
CLAIREMONTMESABL029418,CLAIREMONT MESA BL,SD 015  - SANTO RD,,,10439,7319,17758,0294-18,4/5/18 0:00
ELCAJONBL015218,EL CAJON BL,38 ST - 39 ST,,,11614,10434,22048,0152-18,4/5/18 0:00
EUCLIDAV015618,EUCLID AV,BEECH ST - LYON ST,17529,17557,,,35086,0156-18,4/5/18 0:00
FAIRMOUNTAV015718,FAIRMOUNT AV,LANDIS ST - WIGHTMAN ,7402,4125,,,11527,0157-18,4/5/18 0:00
FAIRMOUNTAV028618,FAIRMOUNT AV,MONTEZUMA RD - CAMINO DEL RIO S ,44077,43438,,,87515,0286-18,4/5/18 0:00
FORTSTOCKTONDR029318,FORT STOCKTON DR,SUNSET BL - ARISTA DR,1306,1274,,,2580,0293-18,4/5/18 0:00
GOODEST032618,GOODE ST,BRIARWOOD RD - MANZANA WY,1752,1890,,,3642,0326-18,4/5/18 0:00
MONTEZUMARD032418,MONTEZUMA RD,55 ST - COLLEGE AV,,,11277,10985,22262,0324-18,4/5/18 0:00
NEVENINGCREEKDR030218,N EVENING CREEK DR,S EVENING CREEK DR - SABRE SPRINGS PY,1851,1961,,,3812,0302-18,4/5/18 0:00
ORANGEAV015418,ORANGE AV,SWIFT AV - 35 ST,,,3571,3696,7267,0154-18,4/5/18 0:00
ORANGEAV015318,ORANGE AV,W CHEROKEE AV - E CHEROKEE AV,,,3616,3520,7136,0153-18,4/5/18 0:00
PARKRIDGEBL030118,PARK RIDGE BL,WANDERMERE DR - NAVAJO RD,1688,1809,,,3497,0301-18,4/5/18 0:00
RONSONRD030918,RONSON RD,SHAWLINE DR - CONVOY ST,,,2312,1600,3912,0309-18,4/5/18 0:00
SEVENINGCREEKDR029818,S EVENING CREEK DR,SABRE SPRINGS PY - N EVENING CREEK DR,1747,2517,,,4264,0298-18,4/5/18 0:00
SIEMPREVIVARD031118,SIEMPRE VIVA RD,SD 905  - ENRICO FERMI DR,,,3701,3651,7352,0311-18,4/5/18 0:00
SUNDEVILWY030818,SUNDEVIL WY,CARMEL MTN RD - BASSMORE DR,,,948,1125,2073,0308-18,4/5/18 0:00
TEXASST031218,TEXAS ST,EL CAJON BL - MADISON AV,8588,8583,,,17171,0312-18,4/5/18 0:00
WARINGRD031318,WARING RD,ORCUTT AV - PRINCESS VIEW DR,10460,11192,,,21652,0313-18,4/5/18 0:00
35ST017218,35 ST,EL CAJON BL - MEADE AV,2447,2957,,,5404,0172-18,4/10/18 0:00
ADAMSAV017318,ADAMS AV,MISSISSIPPI ST - LOUISIANA ST,,,2902,3150,6052,0173-18,4/10/18 0:00
APPLETONST31418,APPLETON ST,MERRIMAC AV - GENESEE AV,,,2768,2564,5332,314-18,4/10/18 0:00
COLLEGEAV017018,COLLEGE AV,COLLEGE GROVE AV - MERIDIAN AV,,,11164,11602,22766,0170-18,4/10/18 0:00
COLLEGEGROVEDR016918,COLLEGE GROVE DR,KRENNING ST - 55 ST,,,4725,5335,10060,0169-18,4/10/18 0:00
DIANEAV32218,DIANE AV,CHATEAU DR - CLAIREMONT MESA BL,626,451,,,1077,322-18,4/10/18 0:00
JUTLANDDR29918,JUTLAND DR,MORENA BL - LUNA AV,5390,4234,,,9624,299-18,4/10/18 0:00
MARLBOROUGHAV024418,MARLBOROUGH AV,EL CAJON BL - MEADE AV,1371,1378,,,2749,0244-18,4/10/18 0:00
MARLBOROUGHAV017418,MARLBOROUGH AV,ORANGE AV - EL CAJON BL,1323,1062,,,2385,0174-18,4/10/18 0:00
MARLBOROUGHAV022518,MARLBOROUGH AV,UNIVERSITY AV - POLK AV,2383,2393,,,4776,0225-18,4/10/18 0:00
MARLBOROUGHAV023018,MARLBOROUGH AV,WIGHTMAN ST - UNIVERSITY AV,2228,2069,,,4297,0230-18,4/10/18 0:00
MTABERNATHYAV32318,MT ABERNATHY AV,REDBROOK DR - KESLING ST,1314,1011,,,2325,323-18,4/10/18 0:00
PACIFICBEACHDR31818,PACIFIC BEACH DR,RIVERIA DR - INGRAHAM ST,,,2071,2108,4179,318-18,4/10/18 0:00
SCRIPPSTL29518,SCRIPPS TL,AVENIDA MAGNIFICA  - SEMILLON BL,1643,1715,,,3358,295-18,4/10/18 0:00
SHAWNEERD31918,SHAWNEE RD,SUMTER ST - RAPPAHANNOCK AV,740,996,,,1736,319-18,4/10/18 0:00
TRIANAST31518,TRIANA ST,DERRICK DR - LIMERICK AV,,,1629,1591,3220,315-18,4/10/18 0:00
UNIVERSITYAV017118,UNIVERSITY AV,ROLANDO BL - ARAGON DR,,,7708,7325,15033,0171-18,4/10/18 0:00
54ST018818,54 ST,FABER WY S - FABER WY N,2256,1878,,,4134,0188-18,4/11/18 0:00
70ST018618,70 ST,SARANAC ST - ALVARADO RD,16143,14414,,,30557,0186-18,4/11/18 0:00
ALVARADORD018218,ALVARADO RD,COLLEGE AV - ALVARADO CT,,,3742,3820,7562,0182-18,4/11/18 0:00
ALVARADORD018318,ALVARADO RD,RESERVOIR DR - 70 ST,,,3955,3961,7916,0183-18,4/11/18 0:00
CALLEDELAPLATA031718,CALLE DE LA PLATA ,TORREY PINES RD - AVENIDA PLAYA ,613,682,,,1295,0317-18,4/11/18 0:00
CAMPANILEDR018018,CAMPANILE DR,MARY LANE DR - MONTEZUMA RD,1491,1408,,,2899,0180-18,4/11/18 0:00
CAMPANILEDR017918,CAMPANILE DR,MONTEZUMA RD - LINDO PASEO ,3319,3125,,,6444,0179-18,4/11/18 0:00
CANONST33018,CANON ST,ROSECRANS ST - VALEMONT ST,5118,6151,,,11269,330-18,4/11/18 0:00
COLLEGEAV018518,COLLEGE AV,AROSA ST - MESITA DR,12095,12353,,,24448,0185-18,4/11/18 0:00
COLLEGEAV017618,COLLEGE AV,HARDY AV - ZUMA (PVT) ST,14943,14224,,,29167,0176-18,4/11/18 0:00
COLLEGEAV026518,COLLEGE AV,LIVINGSTON ST - J MCCARTHY WY,18843,17580,,,36423,0265-18,4/11/18 0:00
COLLEGEAV018418,COLLEGE AV,ROCKHURST DR - WENRICH DR,10073,10805,,,20878,0184-18,4/11/18 0:00
COLLEGEAV018118,COLLEGE AV,SD 008  - DEL CERRO BL,17957,18356,,,36313,0181-18,4/11/18 0:00
MONTEZUMARD019318,MONTEZUMA RD,54 ST - 55 ST,,,13795,13113,26908,0193-18,4/11/18 0:00
MONTEZUMARD019418,MONTEZUMA RD,CAMPANILE DR - MONTEZUMA PL,,,13785,13431,27216,0194-18,4/11/18 0:00
MONTEZUMARD019218,MONTEZUMA RD,FAIRMOUNT AV - COLLWOOD BL,,,20285,21057,41342,0192-18,4/11/18 0:00
